Precip(m3)	SWE(m3)	BCSurf(m3)	BCGW(m3)	Canopy(m3)	Surface(m3)	Channel(m3)	SoilW(m3)	SoilL1(m3)	SoilL2(m3)	SoilL3(m3)	RZW(m3)	GW(m3)	ET(m3)	EvapS(m3)	EvapC(m3)	EvapI(m3)	EvapT(m3)	Leakage(m3)	SrfOut(m3)	GWOut(m3)	SrftoCh	GWtoCh	Rchrge	SatExt	MBErr	2H_MBE
29773.8	2.5411e-15	63562	0	2779.65	0	2282.1	1.84579e+06	57515.2	239970	1.20013e+06	256806	348178	5309.61	4751.68	808.548	398.698	159.228	0	60618	122.161	0.00342734	146.571	89076.2	0	1.69975e-13	1.87633
42489.5	1.96512e-14	66898	0	4091.2	0	2414.15	1.85708e+06	60006.4	240026	1.20013e+06	259343	356920	5411.58	4751.68	808.548	491.645	168.251	0	63829.1	127.583	0.00342734	153.768	97831.3	0	2.64886e-13	2.93643
45379.3	1.01644e-14	70628.5	0	4334.34	0	2553.81	1.85949e+06	60006.4	240026	1.20013e+06	259343	359334	5631.69	4883.9	835.717	575.119	172.669	0	67400.1	133.082	0.00342734	161.154	100258	0	2.9998e-13	2.91925
52316.8	0	74483.9	0	4964.93	0	2629.92	1.86566e+06	60006.4	240026	1.20013e+06	259343	365505	5754.6	4963.03	853.443	613.124	178.452	0	71169.4	138.697	0.00342734	168.863	106442	0	3.10254e-13	3.44964
52605.9	0	78384	0	4813.92	0	2676.06	1.86584e+06	60006.4	240026	1.20013e+06	259343	365681	6004.72	4963.03	853.443	810.916	230.771	0	75031.2	144.366	0.00342734	176.692	106632	0	2.97682e-13	3.66169
63588.3	0	82389	0	5805.6	0	2721.27	1.87569e+06	60006.4	240026	1.20013e+06	259343	375531	6131.59	4963.03	853.443	916.466	252.09	0	78999.3	150.19	0.00342734	184.987	116496	0	3.07234e-13	4.6927
67346.9	0	86511	0	6185.1	0	2729.45	1.8788e+06	60006.4	240026	1.20013e+06	259343	378644	6383.05	5185.48	893.444	940.345	257.218	0	83081.7	156.1	0.00342734	193.516	119624	0	3.2955e-13	5.06369
71682.3	0	90746.7	0	6523.23	0	2788.8	1.88265e+06	60006.4	240026	1.20013e+06	259343	382486	6523.99	5279.99	910.169	985.403	258.597	0	87250.1	162.103	0.00342734	202.312	123480	0	2.92971e-13	5.47331
74572.1	0	94893.5	0	6719.23	0	2750.73	1.88507e+06	60006.4	240026	1.20013e+06	259343	384905	6783	5514.21	946.988	1005.78	263.008	0	91407.1	168.185	0.00342734	211.324	125915	0	2.8026e-13	5.7892
74861.2	5.35325e-15	98694.2	0	6719.1	0	2593.46	1.88493e+06	59885	240026	1.20013e+06	259222	384890	7193.61	5924.83	1017.65	1005.78	263.008	0	95303.6	174.318	0.00342734	220.464	125915	0	2.33072e-13	5.85833
74861.2	4.32533e-17	101756	0	6712.4	0	2357.1	1.88481e+06	59779.8	240025	1.20013e+06	259116	384875	7306.18	6035.76	1036.34	1005.78	264.64	0	98592.8	180.504	0.00345936	229.732	125915	0	2.32715e-13	5.88407
75150.3	0	104050	0	6715.85	0	2031.3	1.88503e+06	59983	240025	1.20013e+06	259319	384890	7358.49	6067.7	1044.32	1024.7	266.088	0	101214	186.741	0.00345936	239.13	125946	0	2.55657e-13	6.00896
75150.3	7.32551e-17	105739	0	6691.35	0	1667.1	1.88473e+06	59703.5	240022	1.20013e+06	259037	384874	7665.48	6366.66	1096.9	1024.7	274.119	0	103224	193.029	0.00357638	248.657	125946	0	2.32219e-13	6.04252
78330.7	0	107302	0	6113.33	0	1452.93	1.88703e+06	60006.4	240026	1.20013e+06	259343	386870	9104.4	6874.77	1220.05	1851.58	378.046	0	104888	199.389	0.00357638	258.397	127959	0	2.78006e-13	6.23886
91908.2	0	109222	0	7619.86	0	1621.36	1.89873e+06	60006.4	240048	1.20013e+06	259362	398543	9463.49	7164.13	1280.5	1907.75	391.613	0	106588	205.925	0.00357638	268.732	139670	0	3.10364e-13	6.81834
92775.5	0	111275	0	7351.3	0	1673.42	1.89888e+06	60002.1	240078	1.20013e+06	259382	398668	10431.7	7761.07	1392.64	2260.46	410.132	0	108488	212.514	0.00357638	279.207	139846	0	2.52525e-13	6.97668
92775.5	0	113124	0	7226.44	0	1601.83	1.89825e+06	59394.8	240119	1.20013e+06	258809	398605	11168	8361.21	1501.13	2385.32	421.481	0	110310	219.155	0.00357638	289.81	139846	0	1.37615e-13	7.10314
92775.5	0	114921	0	7167.87	0	1566.91	1.89769e+06	58862.2	240165	1.20013e+06	258315	398539	11762.9	8887.55	1602.78	2443.89	431.449	0	112051	225.846	0.00357638	300.536	139846	0	1.60409e-13	7.2168
93353.8	6.36969e-15	116780	0	7231.47	0	1674.79	1.89809e+06	59277.4	240214	1.20013e+06	258771	398472	11862.4	8952.76	1615.57	2478.04	431.596	0	113801	232.589	0.00357638	311.385	139846	0	1.60217e-13	7.26218
93353.8	0	118407	0	7172.72	0	1540.66	1.89771e+06	58919.8	240258	1.20013e+06	258450	398405	12283.9	9301.65	1690.82	2536.79	445.411	0	115498	239.381	0.00357638	322.357	139846	0	1.71524e-13	7.28533
98844.3	0	120419	0	6395.45	0	1614.88	1.90205e+06	60006.4	240342	1.20013e+06	259606	401577	14190.8	9818.8	1819.88	3849.38	522.578	0	117318	246.257	0.00357638	333.588	143087	0	2.62038e-13	7.55302
98844.3	0	122592	0	5978.28	0	1715.4	1.90133e+06	59331.2	240360	1.20013e+06	258946	401508	15315.3	10439.1	1936.97	4266.55	609.593	0	119284	253.183	0.00357638	344.945	143087	0	1.59332e-13	7.64683
99422.5	0	124793	0	5907.81	0	1749.9	1.90113e+06	59169.5	240404	1.20013e+06	258820	401434	16138.5	11059.9	2054.72	4434.77	643.834	0	121345	260.158	0.00357638	356.428	143087	0	1.4775e-13	7.77149
108093	0	127216	0	6830.47	0	1888.05	1.90844e+06	60006.4	240558	1.20013e+06	259786	407746	16563.5	11458	2129.72	4459.21	646.314	0	123566	267.25	0.00357638	368.299	149482	0	2.71301e-13	8.22468
108093	1.94982e-17	129585	0	6615.94	0	1894.12	1.90798e+06	59574.4	240619	1.20013e+06	259404	407663	17213.7	11886.1	2209.43	4671.21	656.394	0	125861	274.391	0.00577183	380.296	149482	0	1.24203e-13	8.19553
116186	0	131884	0	7144.16	0	1876.84	1.91494e+06	60006.4	240783	1.20013e+06	259972	414024	17801.1	12263.1	2277.28	4869.48	668.456	0	128122	281.652	0.00577183	392.685	155953	0	2.80865e-13	8.44224
